,product_type,description
0,lipstic,lippie pencil long wearing high intensity lip pencil glide easily prevents feathering many lippie stix coordinating lippie pencil designed compliment perfectly feel free mix match
1,lipstic,blotted lip sheer matte lipstick creates perfect popsicle pout formula lightweight matte buildable light medium coverage
2,lipstic,lippie stix formula contains vitamin e mango avocado shea butter added comfort moisture none lippie formula contain nasty ingredient like parabens sulfate
3,foundation,developed selfie age buildable full coverage natural matte foundation delivers flawless looking skin day night oil free lightweight formula blend smoothly easily customizable create coverage want build sheer developed innovative soft blurring pigment deliver true color looking feeling natural lockable pump easy use keep routine mess free always cruelty free vegan
4,lipstic,product free lead heavy metal parabens phthalates artificial colourants synthetic fragrance boosh lipstick glide smoothly clean protective spf coverage filled hydrating oil butter preserve enhance lip natural surface organic sweet orange oil give light cheerful scent
5,foundation,serum foundation lightweight medium coverage formulation available comprehensive shade range across shade foundation offer moderate coverage look natural lightweight serum feel low viscosity dispensed supplied pump optional glass dropper available purchase separately preferred
6,foundation,coverage foundation full coverage formulation available comprehensive shade range across shade foundation contain higher pigment level serum foundation still offer smooth finish avoids heavy makeup look make skin appear aged texture lightweight non oily cream
7,eye_makeup,strong hour long lasting strong intense color transfer free leaf trace crease eyelid strong pure light capture strong strong mineral strong deliver color radiance silky line refreshingly light pure argan eyeliner leaf weightless feel eyelid p align left natural cosmetic certified ecocert greenlife according ecocert standard available http cosmetiques ecocert com p total ingredient natural origin total ingredient organic farming
8,eye_makeup,strong product description strong anti aging formula made organic pure argan oil pure light capture sup sup pigment hour crease free intensity build increase eyelid running pure light capture pigment deliver color luminosity silky refreshingly light feel pure argan eyeshadow weightless eyelid pure argan eyeshadow strong soothes strong strong hide redness strong strong slows appearance sign aging skin strong p align left natural cosmetic certified ecocert greenlife according ecocert standard available http cosmetiques ecocert com p total ingredient natural origin total ingredient organic farming
9,foundation,span style font weight keep real polished soft focus look using superfine loose mineral powder healing property organic aloe help soothe calm stressed skin instantly minimize pore soften imperfection creates matte finish superfine powder use air brushed look set foundation ultra long wear span span style font weight set makeup matte air brushed effect span span style font weight absorbs excess oil softening fine line span span style font weight organic aloe creates radiant rejuvenated skin span span style font weight hypoallergenic chemical free cruelty free amp noncomedogenic span span style font weight ewg verified non toxic health safety span span style font weight free parabens gluten gmo phthalates sulfate fragrance pheonoxyethanol dimethicone peg propylene glycol butylene glycol lead mineral oil talc span
10,eye_makeup,let eye naturally pop b smudged subtle eye color add tint color base lash organic cream eye color b smudged eliminates inevitable uneven line traditional eyeliner require expert blending technique messy powder based shadow simply smudge along lash line color stay place long lasting look
11,lipstic,intensify natural lip color sally b b glossy lip gloss organic lip gloss add silky smooth hint color shimmer lip formulated certified organic moisture rich ingredient b glossy lip gloss work enrich lip health lip feel good look even better
12,eye_makeup,multi purpose pressed powder may used blush eye shadow blended antioxidant certified organic fruit berry amp botanical made without gluten containing ingredient mica free pink parfait papaya offer natural ultra sheer semi matte finish petal beautiful crushed red rose found pink parfait valued natural color delightful aroma provide acai berry offer natural ultra sheer satin finish mica added vegan image one pink parfait image two papaya image three acai berry model image four wearing papaya model image five wearing acai berry see demonstration papaya click video fast forward enjoy product ewg verified x rated clean think dirty app bpa phthalate free packaging plastic part compact recyclable tiny fleck fruit botanical particle may visible powder pink parfait papaya titanium dioxide mica free net weight gm
13,contour,multi purpose pressed powder may used blush eye shadow blended antioxidant certified organic fruit berry amp botanical made without gluten containing ingredient mica free pink parfait papaya offer natural ultra sheer semi matte finish petal beautiful crushed red rose found pink parfait valued natural color delightful aroma provide acai berry offer natural ultra sheer satin finish mica added vegan image one pink parfait image two papaya image three acai berry model image four wearing papaya model image five wearing acai berry see demonstration papaya click video fast forward enjoy product ewg verified x rated clean think dirty app bpa phthalate free packaging plastic part compact recyclable tiny fleck fruit botanical particle may visible powder pink parfait papaya titanium dioxide mica free net weight gm
14,eye_makeup,multi purpose pressed powder may used eye shadow brow powder eye liner highlighting blended antioxidant certified organic fruit berry amp botanical gluten derived ingredient vegan shade offer semi matte finish exception white diamond white diamond offer shimmery finish image one show shade iris product ewg verified x rated clean think dirty app bpa phthalate free packaging plastic part compact recyclable
15,foundation,coconut cream warm undertone yellow light shade may also used highlighting shade pressed foundation ul li provides silky smooth natural semi matte finish li li skin type li li dry skin apply light moisturizer underneath best result li li resists caking settling line pore li li layer provide light medium buildable coverage li li eco friendly biodegradable compact li li colored mineral enhanced organic fruit botanical li li infused conditioning organic jojoba oil li li formulated without common skin irritant li ul
16,contour,caribbean multi purpose shade suitable medium tan skin tone shade may used bronzer contour shade ul li bronzer enhanced fruit botanical clay natural color fragrance antioxidant benefit li li blended certified organic fruit botanical li li formulated common skin irritant li li bronzer offer natural ultra sheer semi matte finish li li made without gluten containing ingredient li li vegan li li eco friendly jar li ul
17,contour,bronzer enhanced fruit botanical clay natural color fragrance antioxidant benefit blended certified organic fruit botanical formulated common skin irritant bronzer offer natural ultra sheer semi matte finish made without gluten containing ingredient vegan eco friendly jar
18,lipstic,fuller healthier lip long lasting colour colour good choice skin tone made lighter wiping application please note vitamin e extracted non gmo soy bean oil therefore gluten free
19,lipstic,named beautiful mum delicately pink display sophistication perfect sheer wash gorgeous colour brings new texture lip euphoria range strong lipstick benefit strong unique handcrafted lipstick blended certified organic ingredient beautifully pigmented ancient ayurvedic bioactive colour extract leaving lip soft deliciously hydrated strong key benefit strong ul li vitamin b c e k li li antioxidant including pomegranate raspberry kiwi cold pressed oil li li active natural ingredient helping environmental stress li li colour made flower fruit herb mineral li li free parabens petro chemical lanolin hydrogenated oil fd amp c lake dye nano particle gmo pesticide fungicide li li tested animal li li gluten free li ul
20,foundation,pressed foundation marienatie providing silky flawless finish provides great coverage protects skin spf titanium dioxide act absorbent oil jojoba oil help cleanse moisturize skin
21,eye_makeup,hypoallergenic shadow rich colour lightweight texture marienatie shadow fragrance free stay day compact come mini brush stored away titanium dioxide act absorbent oil jojoba clean moisturizes skin
22,contour,formulated reduce appearance pore creating long lasting natural finish marienatie brush protects skin spf sericite mica great absorbing oil clog pore mica natural mineral help enhance skin tone
23,eye_makeup,marie natie perfect lash mascara made natural ingredient condition lash lengthen thicken every lash every stroke oregano rosemary thyme extract great antioxidant help maintain skin health cinnamon bark extract help fight infection lemon peel extract contains natural healing soothing property
24,eye_makeup,long lasting eye colour delivering instant glam shimmer silky soft texture marienatie glide easily applied wet dry magnesium stearate repels water help keep eye shadow day absorb extra oil kaolin clay help purify soothe different skin type
25,lipstic,pure creamy lipstick marienatie formulated organic jojoba avocado coconut oil rich anti oxidant moisturizing benefit enriched naturally derived organic mango cocoa butter soothe hydrate regenerate dry lip
26,lipstic,marienatie offer gluten free vegan lip gloss providing rich colour shine without stickiness natural oil offer moisturizing property lasting hydration lip contains grape seed oil reduce aging wrinkle sunflower oil ability heal skin vitamin e great antioxidant protect repair skin
27,eye_makeup,smooth creamy formula marienatie provide silky soft non oily finish glide evenly deliver immediate result
28,eye_makeup,eyeliner offer long lasting colour natural smooth finish jojoba oil meadowfoam oil amazing moisturizing property help repair skin beeswax known healing property help improve skin condition
30,eye_makeup,natural mascara lengthens thickens defines lash created coffee extract rice protein sunflower oil condition lash smudge proof water resistant lash day made natural organic ingredient black brown
31,contour,cream powder blush made natural ingredient applies like soft cream finish like silky powder antioxidant rich botanical help moisturize skin natural pigment provide long lasting buildable color healthy radiant glow made natural organic ingredient
32,eye_makeup,four color eyeshadow palette infused natural mineral antioxidant rich extract help prevent fine line wrinkle easily blendable shade give ability create effortlessly natural dramatic look made natural organic ingredient
33,eye_makeup,four color eyeshadow palette infused natural mineral antioxidant rich extract help prevent fine line wrinkle easily blendable shade give ability create effortlessly natural dramatic look made natural organic ingredient
34,eye_makeup,four color eyeshadow palette infused natural mineral antioxidant rich extract help prevent fine line wrinkle easily blendable shade give ability create effortlessly natural dramatic look made natural organic ingredient
35,eye_makeup,four color eyeshadow palette infused natural mineral antioxidant rich extract help prevent fine line wrinkle easily blendable shade give ability create effortlessly natural dramatic look made natural organic ingredient
36,eye_makeup,four color eyeshadow palette infused natural mineral antioxidant rich extract help prevent fine line wrinkle easily blendable shade give ability create effortlessly natural dramatic look made natural organic ingredient
37,eye_makeup,natural mineral pigment intense natural black colour nourish root condition lash percent natural ingredient unique precision brush offer excellent lash definition natural cellulose micro sphere give outstanding volume vitamin e sunflower oil organic beeswax
38,lipstic,coastal classic creation conch lipstick flattering stylish rich winterberry color lipstick paraben free vegan contains sunflower oil rich vitamin e may protect damage sun boost product effectiveness add sesame seed oil contains vitamin e b complex provide moisture neutralize free radical companion well boysenberry lip crayon
39,lipstic,essential lip gloss shade enriched blend natural organic oil deliver perfect amount sheer color shine lip enriched blend natural organic oil essential gloss delivers wash sheer color promise shine stickiness made young delicate skin type talc fragrance parabens phthalates sulfate mineral oil propylene glycol dermatologist tested clinically tested sensitive skin hypoallergenic made natural organic ingredient
40,eye_makeup,define lengthen nourish lash organic shea butter grapeseed jojoba oil lash coated gently evenly without clumping transferring flaking long lush lash begin luxe mascara formulated organic shea butter oil grape jojoba seed help nourish condition lengthens defines velvety smooth coat lash gently evenly without clumping transferring flaking made young delicate skin type talc fragrance parabens phthalates sulfate mineral oil propylene glycol
41,lipstic,nourishing creamy lip crayon come perfectly pigmented shade go subtle statement easy use lip crayon delivers velvety application perfectly pigmented color plus nourishing formula creamy consistent texture designed make lip appear soft smooth apply sparingly subtle look generously make statement either way lip feel beautiful look made young delicate skin type talc fragrance parabens phthalates sulfate mineral oil propylene glycol dermatologist tested clinically tested sensitive skin hypoallergenic
42,eye_makeup,make eye pop velvety smooth eyeliner glide effortlessly precisely make eye pop sleek easy use eyeliner formulated jojoba seed oil shea butter velvety smooth formula glide effortlessly precisely sharpen place inside sharpener turn pencil gently create working tip made young delicate skin type talc fragrance parabens phthalates sulfate mineral oil propylene glycol dermatologist tested clinically tested sensitive skin hypoallergenic made natural ingredient
43,eye_makeup,liquid edition eye shadow real winner since launch real first kind natural organic make whether looking striking glamorous look night time something subtle natural wearing day shade everyone dry quickly depending depth colour desired blended application left dry blending vivid look layering also possible however choose use liquid eye shadow gather crow foot fine line around eye inclusion patented beta glucan also mean perfect sensitive eye pale almond subtle natural perfect daytime wear compliment bronzed hazel liquid eye shadow duo tone desired
44,foundation,traditional concealer set stiff flat dry finish dead giveaway wearing new type concealer elastic micro wax move face instead caking top nourishing oil give dewy glowing finish buildable formula cover everything dark circle redness blemish five shade painstakingly developed enhance brighten importantly completely disappear widest range skin tone
45,contour,cloud paint set make blush high point routine pillowy gel cream formula designed user friendly cheek color existence finger paint cloud paint simply dab onto cheek wherever please seamless sheer buildable e hard accidentally apply much inspired gradient pink nyc sunset shade optimized work across wide range skin tone healthy flushed within glow
46,foundation,powder wowder non dewy day wowder cut shine blur appearance pore set makeup look like skin wowder leave chalky film cake fine line flatten skin texture announce presence photograph camera flashback three sheer glowy adaptable shade skin tone hd white pair angelically soft wowder brush targeted application perfect size perfect shape perfect density optimal matte flat finish
47,foundation,skincare makeup haloscope galaxy first dew effect highlighter dual delivery formula outer halo infused genuine crystal extract day enlightenment solid oil core vitamin rich moisturizers hydrated dewy finish expect otherworldly sheen never dry never glittery come
48,foundation,land bare skin makeup makeup exists imperceptible wash color perfecting skin tint even discoloration leaf face looking toned smooth dewy breathable ultra thin formula auto fit skin making application simple throwing moisturizer hide freckle spackle pore erase evidence fact real human
49,lipstic,generation g new kind lip color give look finish blotted lipstick without blot created short list six important shade dialed pigment load casual look zip leo crush jam along super subtle cake like give oomph lighter lip tone lipstick adapt way around appear bit different everyone natural lip color show effect diffused matte goodness swipe
50,eye_makeup,lash reach new height fly mascara lash appear dramatic making average lash look super long ultra dark pro adore intense yet lightweight coverage unique volumizing wand boost even wimpiest eyelash
51,eye_makeup,get ready aerodynamic lash brush boast four way pinwheel design lift lash coat conditioning formula enriched pro vitamin b panthenol green tea extract take spin enjoy
52,eye_makeup,two swipe lash top coat transforms favorite mascara conventional waterproof formula help prevent clumping leaf lash looking gorgeous
53,eye_makeup,give lash boost big loud lash primer work hand hand favorite nyx professional makeup mascara enhance length volume lash
55,eye_makeup,hello dollface irresistibly fluttery eyelash try mascara size doll eye mascara us unique blend natural oil nylon fiber extend lash almost faux proportion choose doll eye mascara long lash volume waterproof
56,eye_makeup,ultra skinny mascara brush perfect coating hard reach lash root tip even along bottom lash line finally smallest thinnest lash get extra special attention water resistant formula micro brush work together create appearance long beautifully defined lash
57,eye_makeup,take word want lash look darker fuller lethally gorgeous day long new worth hype volumizing lengthening mascara jam breeze apply comfortable wear buildable formula actually promise making worth hype every way also feature brush taper tip brush build lengthen even littlest baby lash inner corner eye
58,eye_makeup,every powder room luxurious boudoir mascara collection available elite formula whether want darken amp volume lengthen lash mascara meet need
59,eye_makeup,think beyond ordinary fun vibrant new mascara option nyx professional makeup packed full pigment delivering promise intense color payoff everyone notice fabulous eye lash color go dare try eight shade
60,eye_makeup,everyone notice gorgeous lash super luscious mascara collection featuring seven different brush fragrance free mascara something unique offer plus formulated keratin vitamin naturally derived wax nourish lash super luscious mascara essential lash look
61,eye_makeup,sculpt fill enhance natural eyebrow felt tip eyebrow marker color resists smearing smudging wear day long
62,eye_makeup,one eyebrow kit everything need keep brow looking point kit includes universally flattering shade brow tone slanted eyebrow brush eyebrow comb different stencil help get perfect shape face fill define shape brow like never
63,eye_makeup,play natural asset dual sided pencil delivers sensual eyebrow minute use universally flattering brow pencil draw fill arch highlighting end lift brighten like lbd pencil effect captivating undeniably sexy
65,eye_makeup,tame unruly eyebrow ingenious wax pencil blend wax enriched vitamin e leaf arch tip top condition impeccable shape stroke
67,eye_makeup,one unbeatable brow beautifier three go goody versatile brow includes everything need build exquisite arch retractable pencil powder brow mascara available pigmented shade achieve eyebrow natural looking bold desire applying essential alone together combine em simply outline pencil fill powder complete look setting brow swipe mascara
68,eye_makeup,smooth conditioning clear eyebrow gel set brow place day rain shine apply brow shaping powder keep control formulation made specially formulated thin sparse brow
69,eye_makeup,close eye picture perfect brow defined yet delicate create brow daydream brand new eyebrow powder pencil unique pencil superfine texture provides powdery soft matte finish put finishing touch arch using included spoolie brush smooth rich color
71,eye_makeup,nothing pull together look quite like beautifully defined brow enter sleek new sculpt highlight brow contour pencil defines fill us shadow light lift brow eyebrow perfection
72,eye_makeup,control brow flustered nyx professional makeup control freak brow gel offer new way tame fast clear formula work well powder pencil seal deal make statement brow proud unique non sticky formula comfortable wear day also used clear mascara defines separate enhances natural curl lash
73,eye_makeup,recipe cooking exquisite eyebrow includes wax tool pair complementary powder customized create ideal shade eyebrow cake powder kit includes slanted brush spoolie shape style tame eyebrow
74,eye_makeup,shame wishing strong beautiful brow foolproof tinted brow mascara help dream come true set tames tint brow natural looking wear dependable formula leaf brow feeling soft maintaining complete control
75,eye_makeup,create flawless arch eyebrow pencil blend vegetable coconut soy bean oil guarantee fluid application sensational color use built brush blend color style eyebrow perfection
76,eye_makeup,keep misbehaving brow place discreet easy use brow gel lightweight waterproof formula creates thicker fuller natural looking brow come five versatile shade
77,eye_makeup,give extra life brow easy use brow pomade glide onto skin hair smudge proof waterproof formula come five shade coax brow prime shape stand humidity style
78,eye_makeup,build full beautiful brow ultra thin micro brow pencil precise coat even finest hair color natural looking finish
79,eye_makeup,line lid holographic color holographic halo cream eyeliner inspired thing unicorn unique formula us ultra fine pigmented pearl create sleek shimmering line blended intense holographic eyeshadow available five prettiest pastel ever seen
81,eye_makeup,amazingly fluffy lightweight innovative epic black mousse liner glide oh soft smooth waterproof eyeliner dry pigmented matte finish look totally epic
82,eye_makeup,swap standard wing eye twinkle like star beam cosmic gel eye liner make world statement intense burst sparkle bold color available three shade packed interstellar shimmer formula glide silky smooth super easy blend like fan fave gel liner smudger rich color stay put strong galactic glam
83,eye_makeup,gel liner smudger delivers bold color quit whether perfectly defined line smokey eye silky shade blend easily crease fade pigmented formula available two brand new shade
84,eye_makeup,spend quality glam time metallic eyeliner copper rose gold silver creamy soft pencil available six dazzling shade pigment rich eyeliner slide effortlessly load lid metallic matte finish last swipe sharpen go hue uncover intense color
85,eye_makeup,high powered twist gel liner payoff precision pot without use brush come sharpener ensure precise application every time
86,eye_makeup,brighten beautiful eye new collection faux white feature variety white liner exquisite hint color blush lavender mint bouquet tone may delicate yet one anything subtle every color glide velvety soft provides striking matte finish pencil corner eye using vibrant brighteners fresh highlight
87,eye_makeup,go goodie every beauty makeup bag little black liner course inspired enduring essential new faux black collection put bold twist classic forever chic choice available eight deep matte shade hint rich color midnight blue dark olive striking eyeliner creamy go smooth make drawing precise line smudging totally simple
88,eye_makeup,finally collection noir liner create dramatic look assortment liner includes blackest black liner formulation ranging matte glossy even powder soft brown subtle look create dramatic sultry look precise cat eye subtle yet smokey eye sexy dark collection liner everyone need
89,eye_makeup,slim trim never prim slim eye pencil come variety entrancing shade seafoam green black shimmer creamy long wearing eye liner formula go easily resists bleeding available stunning shade
90,eye_makeup,twist shout renowned extreme lasting power creamy liner delivers intense pigmentation precise application easy twist tube never need sharpening
91,eye_makeup,let softness pencil fool formula smear smudge delivers powerful robust color like liquid eye liner without mess available sleek shade slide pencil sharpened sharpener opening small pencil get nyx professional makeup sharpener
93,eye_makeup,possible incredibly edgy new makeup weapon combination precision liquid liner ease application kohl pencil perfect match create variety dramatic look cat eye meet smoldering intensity smoky eye look know night take
94,eye_makeup,ready give strictly vinyl eyeliner spin take pick eight epic color included vibrant catalog featuring flexible slim brush high shine liquid eyeliner glide effortlessly delivers intensely lacquered look want rock
95,eye_makeup,better guilt free treat feast eye collection chocolate delectable liner mouthwatering formula smudge proof come satin matte glossy liquid
96,eye_makeup,real magic marker extra wide felt tip eye liner perfect creating dramatic cat eye look eye marker application smooth striking result long lasting
97,eye_makeup,micro fine felt tip eyeliner mean use everything filling eyelash line subtle cat eye look eye marker application flawless result fabulous
98,eye_makeup,felt tip eyeliner give ultimate control creating bold precise line opulent shade extreme black dark brown jet black eyeliner marker release ideal amount ink decidedly dramatic eye
99,eye_makeup,original curve innovative ergonomic shape make applying liquid liner mistake proof grip zone provides right hold make application precise secure best beautifully effortless result
100,eye_makeup,line lid style rock range captivating look new colored felt tip liner available six brilliant shade liquid liner feature precision felt tip brush easy use grip zone precise clean pro level application every time
101,eye_makeup,rock roll pure shine liquid liner extra fine flexible brush help ensure flawless even line high gloss finish
103,eye_makeup,get bright eyed blink opaque water resistant liquid white liner perfect lash waterline precision brush help create defined white line leaving standout eye lasting matte finish
104,eye_makeup,transform look second super pigmented eyeliner highlight eye electrifying stroke color fine brush tip allows precision application used create line varying thickness go subtle go glam
105,eye_makeup,live super sharp wing inspo like faves draw em using epic ink liner featuring slender supple brush tip intensely pigmented waterproof pen let achieve black liquid line effortlessly every stroke unbelievably fluid defined finish control thickness line pressing touch fine natural broad bold look always
106,eye_makeup,stand crowd new eye catching liquid liner available vivacious shade shimmering long wearing liner flexible brush tip perfectly precise surprisingly smooth application
107,eye_makeup,line define expert precision using matte liquid liner makeup artist must bold classic look precision brush tip allows effortlessly achieve ultra fine exquisite matte finish
108,eye_makeup,line lid vibrant color new vivid brights liner available nine incredible shade pro level liner deliver instant intense color payoff
110,foundation,glow way using holographic halo finishing powder ultra fine loose powder come two pearly shade delivers ethereal look crazy gorgeous lightly dust complexion set softly illuminate along highest point face like bridge nose cheekbone cupid bow add touch radiance
111,foundation,kissed barest hint pigment blotting powder take shine without settling fine line polishing skin satin matte perfection
112,foundation,introduce u someone love good photo filter introduce secret herd pet unicorn point come getting picture taken love good filter created nofilter finishing powder amazing new product delivers finish flawless soft flattering filter instagram beyond
113,foundation,even complexion using ultra fine translucent loose color correcting powder lightweight easy use powder applied foundation paraben talc free formula help achieve natural matte finish
114,foundation,favorite beauty essential available convenient travel sized mini lightweight translucent finishing powder help soften appearance fine line pore silky pressed powder fresh matte finish
115,foundation,unleash inner theatrical makeup artist incredible pressed pigment creates variety special effect ultimate staying power
116,foundation,two way get glow luminous multicolored finishing powder brighten perfect warm shimmering shade sunkissed radiance
117,foundation,mineral finishing powder set favorite look flawless finish skin appears fresh radiant throughout day hint color provides enough coverage worn makeup bare moisturized skin
118,foundation,lightweight translucent finishing powder help soften appearance fine line pore silky pressed powder fresh matte finish
119,foundation,miracle jar pure mineral silica finishing powder perfect setting foundation wearing alone luminous white powder go neutral work skin tone leaf skin looking radiant luminous use lightly little go long way
120,contour,take two tango brilliant bronzing powder kickstart look mosaic bronzer shade create golden glow face body like returned caribbean getaway sun kissed never looked beautiful
121,contour,brighten complexion radiant shimmer illuminator diffuses light skin look vibrant refreshed adding subtle glow available radiant color
122,contour,perfect spring summer beyond matte bronzers arrived achieve natural healthy looking complexion using powder bronzers available five russet shade perfect desired honey glow year long
123,contour,get swept away drop dead gorgeous sweet cheek blush palette collection feature eight highly pigmented buttery smooth color flawlessly suit skin tone perfect everyone pro go budding beauty guru irreplaceable set brings together variety exclusive shade matte shimmery finish true got serious blush crush
124,contour,create natural looking contour sun kissed cheek gorgeous lit within glow new cheek contour duo available six silky shade combination luxurious compact make easy perfect complexion go
126,contour,brighten thing one new bright idea illuminating stick available range radiating hue including four highlighter four blush four bronzers creamy soft shade go smoothly set right away instant lit within glow petite portable perfect strobing makeup must season
127,contour,delicious peach cream like think velvety smooth mineral rouge cream blush offer sheer wash radiant color glorious payoff dewy sultry long lasting
